Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
RAIA3,"30,50","41,22","2,98","0,897","0,00%","1,777","4,31","18,18","5,06","16,73","16,73","4,93%","2,18%","2,20","17,80%","7,22%","0,00","635.785.000,00","0,12","0,00%"
LCAM3,"24,15","41,56","5,61","7,646","0,00%","3,901","14,69","53,23","28,83","50,97","23,21","14,36%","18,50%","6,45","9,59%","13,49%","0,00","10.845.400.000,00","0,06","10,10%"
IMCH3,"6,39","41,83","0,59","0,336","0,00%","0,289","-9,49","12,28","-0,78","21,16","6,62","2,73%","0,80%","0,82","2,55%","1,40%","0,00","920.589.000,00","0,51","21,04%"
CEGR3,"96,49","43,43","12,53","5,080","0,57%","5,369","-74,20","24,10","-15,86","24,71","21,42","21,08%","11,70%","0,76","25,82%","28,85%","224,40","1.999.410.000,00","0,46","0,10%"
PTQS4,"189,46","43,43","2,19","4,717","0,00%","1,577","9,89","-7.214,41","-35,73","-7.466,35","-7.466,35","-0,07%","11,37%","3,32","-0,02%","5,04%","0,00","1.714.950.000,00","0,24","56,13%"
UOLL4,"19,62","43,52","2,35","2,054","0,00%","1,403","457,14","15,14","-12,83","16,49","16,49","13,56%","4,69%","1,01","10,57%","5,40%","0,00","1.003.690.000,00","0,23","21,99%"
HETA3,"96,00","44,39","-0,14","10,614","0,00%","3,896","-22,18","11,39","-0,14","86,87","86,87","93,21%","23,91%","0,51","34,28%","-0,32%","0,00","-350.075.000,00","-0,93","18,12%"
HBRE3,"4,41","50,18","0,23","2,100","0,00%","0,091","2,50","1,57","-0,26","6,66","6,51","134,03%","42,32%","1,57","5,98%","0,46%","1.906.230,00","1.957.030.000,00","0,82","24,26%"
PLTO6,"10,47","50,81","692.616,00","0,690","0,00%","0,901","2,90","55,05","-1,55","56,35","56,35","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
DOHL4,"3,76","51,86","0,41","0,463","0,29%","0,285","0,62","-6,65","1,09","-7,94","-16,62","-6,95%","0,89%","5,27","-4,89%","0,79%","11.011,60","691.726.000,00","0,21","-2,31%"
SULA11,"22,25","52,23","1,13","0,432","0,27%","0,314","0,85","-13,07","-4,60","6,62","8,51","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
SULA3,"7,43","52,32","1,13","0,433","0,27%","0,314","0,85","-13,09","-4,61","6,59","8,48","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
PLTO5,"10,94","53,09","723.708,00","0,721","0,00%","0,942","3,03","57,52","-1,62","58,82","58,82","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
FFTL3,"25,00","53,22","2,26","3,410","0,00%","1,508","23,71","20,90","-15,54","20,55","20,55","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
FFTL4,"25,06","53,34","2,26","3,418","0,00%","1,512","23,77","20,95","-15,58","20,60","20,60","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
SULA4,"7,63","53,73","1,17","0,444","0,26%","0,323","0,88","-13,45","-4,73","6,24","8,02","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
FRIO3,"209,99","54,65","3,62","0,536","0,00%","0,694","4,98","11,80","-7,68","18,14","10,71","4,55%","0,67%","1,26","8,09%","6,63%","0,00","364.200.000,00","2,26","5,88%"
BSEV3,"9,00","56,31","-10,76","0,889","0,00%","0,776","-1,59","4,40","-1,02","7,59","3,70","20,19%","1,58%","0,39","20,66%","-19,12%","0,00","-853.187.000,00","-8,95","7,12%"
GVTT3,"57,70","57,38","3,68","4,312","0,00%","2,268","21,82","25,92","-18,43","26,65","26,65","16,64%","7,52%","1,66","10,32%","6,42%","0,00","2.150.790.000,00","0,24","31,47%"
CSAB3,"30,50","58,43","1,11","312,320","0,00%","0,566","0,00","18,86","0,00","0,00","0,00","1.656,27%","534,53%","0,00","0,00%","1,89%","0,00","211.654.000,00","0,00","-17,83%"
AEDU3,"18,35","59,34","3,32","4,141","0,00%","2,159","17,00","41,06","-21,55","43,27","29,01","10,08%","6,98%","2,04","5,77%","5,60%","0,00","2.415.400.000,00","0,30","20,90%"
SUBA3,"84,00","61,95","8,39","8,067","0,00%","6,778","8,03","115,78","8,09","106,17","106,17","6,97%","13,02%","5,55","19,11%","13,54%","0,00","530.396.000,00","0,00","0,00%"
QUAL3,"2,16","62,87","0,46","0,416","0,26%","0,157","-1,96","1,06","-0,51","2,66","1,72","39,27%","1,14%","0,81","19,33%","0,74%","6.348.370,00","1.325.600.000,00","1,05","-8,82%"
BRIV4,"12,54","70,08","0,66","0,000","2,61%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,95%","0,00","1.671.490.000,00","0,00","-44,72%"
DAGB33,"375,00","71,75","1,60","0,640","0,00%","0,510","15,24","11,87","-1,27","19,35","30,65","5,39%","1,67%","1,17","4,96%","2,24%","0,00","12.597.300.000,00","1,18","32,08%"
BRIV3,"12,86","71,86","0,68","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,95%","0,00","1.671.490.000,00","0,00","-44,72%"
CTPC3,"0,20","76,36","1,08","0,000","0,00%","0,097","0,00","-16,86","0,00","-18,75","-18,75","0,00%","0,00%","0,00","0,00%","1,41%","0,00","2.411.000,00","0,00","-6,10%"
MLFT4,"22,39","80,38","10,02","32,609","0,00%","4,933","31,73","53,23","-19,06","55,69","47,93","61,26%","40,58%","2,67","11,56%","12,47%","0,00","4.640.860.000,00","0,86","16,02%"
RLOG3,"23,08","82,76","4,26","1,534","0,00%","0,229","1,49","5,32","-0,50","12,43","6,68","28,85%","7,07%","2,64","5,36%","5,15%","0,00","2.507.240.000,00","9,08","8,76%"
RAIL3,"17,03","84,72","2,29","2,267","4,75%","0,613","8,79","5,60","-1,11","8,49","5,12","40,47%","2,81%","1,66","12,49%","2,71%","265.529.000,00","13.805.500.000,00","1,58","17,10%"
DOHL3,"6,51","89,80","0,71","0,801","0,15%","0,494","1,07","-11,52","1,89","-12,81","-26,81","-6,95%","0,89%","5,27","-4,89%","0,79%","45,42","691.726.000,00","0,21","-2,31%"
CSAB4,"48,97","93,81","1,78","501,453","0,00%","0,909","0,00","30,28","0,00","0,00","0,00","1.656,27%","534,53%","0,00","0,00%","1,89%","0,00","211.654.000,00","0,00","-17,83%"
HGTX3,"37,50","101,99","3,57","4,178","0,00%","2,480","7,50","105,87","9,93","106,77","42,50","3,95%","4,10%","2,47","3,00%","3,51%","0,00","1.704.940.000,00","0,12","-4,62%"
PQUN3,"15,44","104,31","1,88","0,545","0,00%","0,523","7,57","19,50","-0,97","40,25","40,25","2,80%","0,52%","1,61","3,02%","1,81%","0,00","858.692.000,00","2,28","5,19%"
PQUN4,"15,44","104,31","1,88","0,545","0,00%","0,523","7,57","19,50","-0,97","40,25","40,25","2,80%","0,52%","1,61","3,02%","1,81%","0,00","858.692.000,00","2,28","5,19%"
TMAR6,"42,01","112,59","0,71","0,519","0,00%","0,181","1,49","4,04","-0,50","8,29","3,21","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
TMAR5,"42,67","114,35","0,72","0,527","0,00%","0,184","1,51","4,10","-0,51","8,35","3,24","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
NETC3,"38,50","123,10","2,12","1,290","0,00%","1,074","-33,02","10,82","-2,96","12,15","5,27","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%"
PRBC4,"14,54","126,79","35,24","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","27,80%","0,00","1.344.020.000,00","0,00","1,09%"
NETC4,"40,00","127,89","2,20","1,340","0,00%","1,116","-34,31","11,24","-3,08","12,57","5,45","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%"
SRNA3,"12,62","151,28","1,46","1,260","0,00%","0,390","-8,87","6,06","-0,68","14,25","8,75","20,80%","0,86%","0,78","7,01%","0,96%","53.147.600,00","5.387.220.000,00","2,18","44,89%"
PRNR3,"15,49","152,93","1,79","0,582","0,27%","0,565","1,61","7,78","-8,10","9,58","5,92","7,48%","2,47%","2,42","10,94%","1,17%","7.571.170,00","490.187.000,00","1,42","36,18%"
TMAR3,"62,00","166,16","1,04","0,765","0,00%","0,268","2,20","5,96","-0,74","10,21","3,96","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
GUAR4,"151,00","171,27","13,60","7,305","0,00%","5,560","26,77","74,11","153,13","74,93","43,98","9,86%","4,27%","1,49","9,00%","7,94%","0,00","5.544.320.000,00","0,34","9,45%"
ROMI4,"185,00","180,01","14,02","12,401","0,00%","6,690","21,69","208,90","89,81","215,52","118,33","5,94%","6,91%","2,07","3,75%","7,79%","0,00","1.229.150.000,00","0,66","-1,28%"
ORVR3,"63,50","201,61","4,28","6,007","0,00%","1,445","6,37","22,24","-4,92","26,15","15,62","27,00%","4,17%","2,93","9,00%","2,13%","29.691.900,00","1.424.700.000,00","1,48","26,12%"
BIDI3,"3,40","225,51","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,47%","0,00","8.348.550.000,00","0,00","37,00%"
BIDI4,"3,41","226,17","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,47%","0,00","8.348.550.000,00","0,00","37,00%"
BIDI11,"10,40","229,93","1,08","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,47%","0,00","8.348.550.000,00","0,00","37,00%"
ELEV3,"24,30","312,39","3,22","0,688","0,00%","0,954","5,75","37,19","-5,18","51,41","51,41","1,85%","0,27%","1,47","3,01%","1,03%","0,00","489.356.000,00","1,35","3,69%"
RHDS4,"1,00","363,45","29,50","4,977","0,00%","7,182","-593,56","68,11","-24,55","71,32","53,72","7,31%","1,17%","0,97","11,80%","8,12%","0,00","272.045.000,00","1,49","4,38%"
PETZ3,"4,30","545,89","1,16","0,566","0,00%","0,504","3,14","9,74","-2,86","9,35","3,38","5,81%","0,10%","1,71","6,77%","0,21%","12.839.900,00","1.716.260.000,00","0,25","14,95%"
UBBR4,"7,49","610,27","1,99","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
ALPK3,"4,66","724,28","2,86","0,567","0,00%","0,395","-8,66","2,35","-0,61","5,04","3,20","24,15%","0,46%","0,82","20,31%","0,40%","636.024,00","357.066.000,00","4,23","23,20%"
ENEV3,"20,04","1.140,43","1,96","2,254","0,00%","0,713","16,55","11,30","-1,62","15,82","9,02","19,94%","3,19%","1,34","7,00%","0,17%","161.045.000,00","19.852.600.000,00","0,98","36,81%"
UBBR11,"14,75","1.201,81","3,91","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
UBBR3,"18,00","1.466,61","4,77","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
BBTG12,"3,15","265.986,00","26.598,60","0,000","0,00%","324,769","0,00","-131,09","0,00","-131,09","-131,09","0,00%","0,00%","0,00","0,00%","10,00%","0,00","10.000,00","0,00","0,00%"
